date,grow_%,min,max
Cat-sin-Igua,3652,27,1013
Catalu̱a,2510,41,1070
Spain,2446,54,1375
Italy,1917,41,827
Madrid,1723,56,1021
Lombardia,1518,55,890
Netherlands,1170,43,546
Germany,1111,44,533
France,1071,48,562
China-Hubei,1098,40,479
Belgium,952,67,705
United Kingdom,951,55,578
US,943,40,417
Turkey,866,44,425
Sweden,795,40,358
Brazil,680,46,359
Switzerland,598,43,300
Iran,577,43,291
Occitanie,233,40,133
Algeria,482,44,256
Argentina,137,43,102
Austria,316,49,204
Bangladesh,-100,46,
Canada-Ontario,417,53,274
Canada-Quebec,490,61,360
Chile,170,43,116
Colombia,213,46,144
Czechia,214,44,138
Denmark,337,41,179
Dominican Republic,181,42,118
Ecuador,298,48,191
Egypt,158,40,103
Finland,125,40,90
Greece,89,46,87
Hungary,232,47,156
India,397,58,288
Indonesia,227,48,157
Ireland,411,46,235
Israel,190,40,116
Japan,39,41,57
Korea South,79,42,75
Mexico,492,50,296
Morocco,168,44,118
Norway,170,44,119
Pakistan,133,40,93
Panama,129,41,94
Peru,251,55,193
Philippines,238,45,152
Poland,384,43,208
Portugal,519,43,266
Romania,412,43,220
Russia,295,43,170
Saudi Arabia,112,41,87
Serbia,114,44,94
Ukraine,178,45,125
